AUC,HB
0.11096475621161517,0.0008812938613118604
0.14950844879058423,-0.02434172345601837
0.3075122652999198,-0.013366038419917459
0.18655528122872056,-0.004420945162564749
0.3717066584758868,-0.027795357469585724
0.26395292937377235,-0.029033155304205138
0.16762921470945003,0.006481904249085346
0.11314437815144629,0.001600923480509664
0.8679923354829953,-0.099690899518464
0.0755885886019314,-0.007522848985900055
0.10662594411587634,0.0009155683874269016
0.3129424723401826,-0.031458480487344787
0.20251341285620583,-0.024363904965866823
0.2775532219930028,-0.03517602621286642
0.19292247939483786,-0.008079906940110959
0.13078681295246497,-0.018433156223181868
0.17060682925739457,-0.03321299786603049
0.061094891396805906,-0.005712718754693924
0.041088651773861784,-0.000900400715181604
0.0779610323338602,0.004893327330137254
0.05318325840335092,0.0015491226822632598
0.21332857262223115,-0.015467392842765548
0.18749480828591913,-0.025061853950319346
0.35099296320095164,0.029630263499711873
0.28518434000397974,-0.024552021797717316
0.544875560226501,-0.029250494657389936
0.17543956092140434,0.011224477413634304
0.07666426980813412,0.002961022823001258
0.07937465593658999,0.004478794771785033
0.16241244589491544,-0.022005997230735375
0.19740634245954425,-0.01694387657335028
0.2814146508517297,-0.03131127154119895
0.050976805358914135,-0.003926580497136456
0.06044390736587957,-0.0013765635521849617
0.3464875440567994,-0.033823908068370656
0.1690880655824003,-0.01562648808976519
0.2477047980955831,-0.012960417097929167
0.33335514039754344,-0.06004884208232397
0.5766578506263613,0.03204684939919389
0.19516334029231075,0.0038242751033976674
0.1722083349559398,-0.016192614748433698
0.2563824471735643,-0.027471998635519412
0.3544014251765475,-0.031229558124323376
0.27479977352959395,0.015980571570253232
0.4328318424477402,-0.03130704075010726
0.3178331256422098,-0.016823072324768873
0.12977892909202637,-0.015948487733112415
0.16124272623710567,-0.01865477498904511
0.2487070462848351,-0.026421010841659154
0.08826669470727211,-0.01162587471480947
0.2821331756113068,-0.03371650599729037
0.14631488638406154,-0.01637652636054554
0.1493045190754856,9.662120282882825e-05
0.2519262472578703,0.02148508148820838
0.1208247432632561,0.003983758651884273
0.4500804937324574,-0.046244111897976836
0.36912310318803065,-0.02681752833632345
0.25989671177376295,0.024749640750087565
0.18296103543070785,-0.010320586519810604
0.13467269525062875,0.00422701603929454
0.2716230088744851,-0.012464217936212663
0.06374373497601482,0.007194109835836571
0.7374430882173328,0.05277092143660411
