AUC,HB
0.0803720530407972,-0.0020256635291957537
0.018915354807852225,-6.704531018897342e-05
0.11144481255184502,0.010870838653758597
0.05323665397720134,0.0032594083906332116
0.05954146425266771,-0.0044798097596583375
0.2044632029773581,-0.023918704762657228
0.20868677157864113,-0.03264087325291598
0.017407228766316507,0.00012198569368138124
0.20895418266529475,-0.028783203686813863
0.09904592835134451,-0.007422942374205377
0.1020093095384027,-0.009801360459036346
0.16865705371201045,-0.01828379911898992
0.1473333890064552,-0.01345235408611245
0.15432845860108557,-0.013971109556109695
0.08706801104269601,-0.011250939591306519
0.019526048948456776,0.002014034567196177
0.04303292300312478,-0.013600702443682167
0.017293634703133165,-0.0011653201536248048
0.022997645729915916,0.001163405735184142
0.03418500722281337,-0.002484190191758273
0.0318276123184944,-0.001206611137888558
0.15442598237115845,-0.013630001240812817
0.177531875585629,-0.013251440006584403
0.24045722032965955,0.02140147825235772
0.13227185469190772,-0.014608444983380764
0.0969672413603746,0.006600051072553015
0.07442259552590258,0.010428607751293839
0.051261569380983474,0.005778007193612211
0.0654315937116543,0.008766317760127151
0.1299990069758863,-0.01372582564943059
0.08138294313756944,-0.009222189682077442
0.09105542141872291,-0.009271196196351639
0.08582564153244476,-0.00887278801435798
0.15144956177881141,-0.013401700718446818
0.1169817210594104,-0.014264933949945657
0.08293329847293052,-0.011179828043651696
0.07192636354113091,-0.010457398459877254
0.13278370245141247,-0.03540841364086589
0.23695716694805924,0.0102934848484324
0.19090379917231814,-0.020340213378489125
0.09292929665136995,-6.514587887807011e-05
0.08748978458761059,-0.018080904748003945
0.07937005077624804,-0.009159191135012179
0.19649386652627499,0.0063278101445405355
0.046475097357792094,-0.0022428049893363777
0.0859926191920124,-0.0031333065046652564
0.12194727213938705,-0.011770606234250636
0.044847070641765185,-0.005443743703025916
0.04224948859477706,-0.003591915772872767
0.032813471277961526,-0.004301911980988393
0.028818601963095603,-0.003359470604223702
0.04706110200919511,-0.0005499306229950207
0.06091281353598532,-0.004083601948195792
0.09101278309522343,0.00676840393306577
0.09514721188096331,-0.007776434601737492
0.14176864024200597,-0.013116902028286859
0.23120558631343613,-0.015875876697336366
0.04122111676574747,-0.0005801121181008284
0.13372507145439272,-0.007853681547970837
0.07727023588876847,-0.004216201646926265
0.09503118907677077,-0.0008486975566057708
0.1288265415038481,-0.008209348546287742
0.11986757296212858,0.010825589264484847
0.18964106319930352,-0.009822981641065098
0.16398813928211098,0.015132504728398999
0.04416085364950817,-0.0030269907638427185
0.21450495841845907,-0.007515766699683013
0.1312040877968812,-0.0009824590922420384
0.15479038989824545,0.020584312257028614
0.029194952315407363,-0.0023312880641128686
0.14944596380268393,-0.007760372202170629
0.15612583567033056,-0.01698763576546014
0.0980747085646243,0.00047928763210336456
0.032068889821253777,-0.001148765361307369
0.06328556781740247,-0.007393709978813945
0.06945308055403387,-0.0026922758493839183
0.07163773792463246,-0.00703018594533944
0.09640750002583331,0.01053376182956356
0.14339743357144386,0.01408984234677746
0.08990299640272781,-0.007917032851636918
0.3890769246065844,-0.022034740147390153
0.16834661613940227,-0.015738271268844528
0.14329463898962302,-0.0030311490943972785
0.14060589734812368,-0.005015282029347645
0.02279646663384227,-0.003352699134126169
0.007955190031765369,0.00010350179836393636
0.04529379841480363,0.005473198327422324
0.0724565470792129,-0.003314989390446499
0.17245120517253554,-0.020896341381131833
0.04383197069549993,-0.0006085863630715949
0.1694437903188586,-0.02469866255815134
0.038499299912594154,-0.005706878789908387
0.09779720947681625,0.0022091176203531404
0.0471725654088857,-0.00029071778764944156
0.1086646468102117,0.008718118506834571
0.17471923285720692,-0.012472643411513218
0.19817676305007836,0.01309351909613099
0.1329241302780062,-0.002414137757469348
0.06812979539537167,0.011303735582927743
0.10654205092062341,0.002495663957105876
0.1367096511863295,-0.01215194436890954
0.023853759352192583,-0.0010221010769555505
0.09901653184711279,-0.010476523283372785
0.07611357014528863,-0.002156340502423859
0.1347751670459303,-0.00041397815036248176
0.1377115400272828,0.010155998959291423
0.12653026785474708,-0.007965881933856167
0.10666536595955023,-0.011287405980397125
0.08502444152086497,-0.008006564753770817
0.07917208606893666,0.005730174685922407
0.0816673247556352,0.00592909386189433
0.13209734690317987,-0.015450756897735118
0.05912951605636607,-0.007151606982290559
0.08010198042158123,-0.011512622918814941
0.11351073606321904,-0.011075412847134203
0.14089499318044574,-0.03082701139943822
0.08845991920125584,-0.009428901064922002
