Temperature_K,Experimental,GRACE (2L-S),GRACE (2L-M),GRACE (2L-L),MACE (S),MACE (M)
260,,1.0186358441558443,0.9900487612387613,1.0326186213786213,1.1578441758241758,1.108428497596154
270,,1.0235360939060938,0.9920287912087912,1.0274128271728271,1.1487588711288712,1.1012625656324582
280,0.99987,1.0217925374625374,0.9914260939060938,1.025030999000999,1.1361205794205793,1.0906754845154847
290,0.99877,1.0150427272727274,0.9945836463536464,1.0203191408591408,1.1248854445554446,1.0827175224775225
300,0.99657,1.0115056943056944,0.9925984515484515,1.01598010989011,1.1134472827172828,1.0727592007992008
310,0.99342,1.0059848251748251,0.9903492107892108,1.011566973026973,1.1028756043956043,1.0631667332667334
320,0.98945,1.0002405294705294,0.9852794005994006,1.0085274025974027,1.0902748451548452,1.0565876823176823
330,0.98479,0.9944195804195805,0.9830864935064936,0.9979137662337662,1.0808763436563436,1.047768941058941
