small,medium,large
0.1984111705187388,0.11096475621161517,0.06811577095959365
0.5286678675656731,0.14950844879058423,0.10849571732796903
0.3367966394098403,0.3075122652999198,0.16857809124940104
0.11156350829696748,0.18655528122872056,0.042060863497681567
0.24241837444242265,0.3717066584758868,0.07227241210784996
0.1929837486395627,0.26395292937377235,0.2980305279343156
0.41406441911476577,0.16762921471035952,0.20663970410350885
0.2600918546786488,0.11314437815144629,0.1847723390947067
1.1515834856900256,0.8679923354829953,0.5960142510330115
0.32679822885256726,0.0755885886019314,0.19638164711341233
0.3982544451064314,0.10662594411587634,0.07025997429445852
0.39867514828711137,0.3129424723401826,0.09646205331955571
0.40040614115059725,0.20251341285620583,0.1591271866363968
0.23160555474350986,0.2775532219930028,0.22344914777022495
0.4695885972760152,0.19292247939483786,0.090944180266888
0.23865546058277687,0.13078681295064598,0.03399432495916699
0.12221559266345139,0.17060682925739457,0.13876395907618644
0.1527425396993749,0.061094891396805906,0.037038336489331414
0.13845154338105203,0.041088651773861784,0.0334239589601566
0.1848768676727559,0.0779610323338602,0.048210302571987995
0.18630148049851414,0.053183258402441425,0.03128775454888455
0.20981881533043634,0.21332857262223115,0.18554340826176485
0.4083765128925734,0.18749480828591913,0.06613258921788656
0.07848359271974914,0.35099296320095164,0.06985039365827106
0.1965454614983173,0.28518434000397974,0.2665894463589211
0.3812193839403335,0.544875560226501,0.2594539600131611
0.23614009936318325,0.17543956092322333,0.09567836604128388
0.3670296004647753,0.07666426980813412,0.07256541125661897
0.16487815976051934,0.07937465593658999,0.042721559382698615
0.2825919148417597,0.16241244589491544,0.11893024589880952
0.21113678302845074,0.19740634245954425,0.25104844567795226
0.09647238364414079,0.2814146508517297,0.14731134330759232
0.1262844702532675,0.050976805358914135,0.030192778003765852
1.1755264843595796,0.06044390736587957,0.2548034296369224
0.2445304520360878,0.3464875440567994,0.15148465524453059
0.4198421744404186,0.1690880655824003,0.045473886084437254
0.37024405987904174,0.24770479809922108,0.11187749351665843
0.4035981939014164,0.33335514039754344,0.10274623763325508
1.3329927720351407,0.5766578506263613,0.4834998449550767
0.5349839236605476,0.19516334029231075,0.07435943457312533
0.4472811546484081,0.1722083349559398,0.10434255724248942
0.1819986023938327,0.2563824471735643,0.15222435350460728
0.39595723323509446,0.3544014251765475,0.22849129067981266
0.34001644933050557,0.27479977352959395,0.24160723561544728
0.6567544303807153,0.4328318424477402,0.1294794231416745
