small,medium
0.13727434916773973,0.10509934309335023
0.19157453162853955,0.07414298617483439
0.2565062074074618,0.1245355491333271
0.14952955453938443,0.05230505563895349
0.4457827553488727,0.15821825323053673
0.10012719168981832,0.16975265180159482
0.10341900159076545,0.15647559346620454
0.22086794830898526,0.06896217111570024
0.5063059468448898,0.3782517585382408
0.13528310199510685,0.1379118139252995
0.13729430591846636,0.13196591741314023
0.10168223427557876,0.18961040125468287
0.10951864279051904,0.1279791211550645
0.12921821562937907,0.2025902416463694
0.14139659809583804,0.15716884782357
0.12917488028411128,0.06059304674177213
0.12067232019607843,0.08286800350771273
0.1271605135630658,0.034854379921139156
0.10458605643637497,0.038729439093785345
0.1578710927245055,0.05550092215820612
0.1534855272649267,0.05487961841909339
0.3492826060508989,0.17374487352118706
0.34786977400955266,0.2222888735542412
0.19079995993580212,0.18705271105154964
0.2072403292150682,0.25888469566288563
0.23046363913051238,0.12119212991829897
0.16899571513080502,0.09741819768368742
0.21950489829097108,0.1819470110456436
0.04366694032009377,0.05378109873671377
0.20367156291710842,0.13077739945806144
0.5146036350843914,0.18113569524121687
0.23596353611974763,0.17164813660253486
0.29639615494626526,0.08072002700520642
0.2485282036110732,0.15557983459962088
0.12899361890221428,0.14985174154799097
0.1679068556784955,0.10246946417952074
0.23984921515617685,0.13048270025240072
0.3397470916804721,0.23024976808962094
1.1721086574135668,0.14220829766101417
0.364161685244369,0.13150311144862314
0.29463837666047255,0.14551922204924495
0.2105413514480574,0.28535776426553383
0.4317662063953236,0.1845236549403353
0.25704536793747224,0.10481272182168766
0.4696644141633257,0.12950735624022514
0.6146480609784533,0.06984018165529449
0.3849679615134747,0.1831102187164575
0.31490694671566644,0.14557948044426183
0.20423651872274462,0.12460897041596297
0.16129195406903563,0.12380325029043604
0.2497597038536341,0.049923495381158034
0.14679711633618808,0.10484130345819409
0.26666740368241904,0.12235820132251973
0.30156730668821297,0.04021961014204578
0.2743167833134521,0.063632916182641
0.1790354306022124,0.059287201653098975
0.3475320385637133,0.24505713871034374
0.19898239802113693,0.03515072257749097
0.21577607237099272,0.11072730645584983
0.27302231881462546,0.1396496675885146
0.6245707690462723,0.27559659096824163
0.15719452807636003,0.10982461483234829
0.26441167412004773,0.08382188116793543
0.5878432374554734,0.23354199761677563
0.2682562844041243,0.25304314886261636
0.13064730072773045,0.21290431527192055
0.18866467129520714,0.15105030876978276
0.41595077874529096,0.3517879359166969
0.15333650810018895,0.1314172292140725
0.09604968820997328,0.05175664430124982
0.3771323595933467,0.2799522695873975
0.22373852569734254,0.16256238854914784
0.27690230274352245,0.20446282626124201
0.2708741143682687,0.10893043242810307
0.3627577043643413,0.14694844629737958
0.73457494345557,0.11410954075610391
0.42777736240944364,0.24191912620604938
0.12741928072862407,0.0639506601220532
0.3079961091306558,0.15987790345487696
0.12189269986566131,0.09538030664984376
0.5568039775733666,0.37252496504553534
0.12420340214058712,0.2742969571958227
0.24962515664764595,0.19303576215763485
0.49092995090414604,0.26302044979964734
0.12407236230589547,0.07086303114017767
0.17187844238430472,0.041668155003627305
0.0984059625409941,0.09133045649033988
0.1549809192873397,0.03230750504484092
0.2869130594904874,0.26435840064351623
0.1946545785237248,0.11093796022360891
0.12405640532804085,0.27244189192142443
0.12088663618204976,0.2077295250682596
0.258245613778314,0.18160900194236262
0.21616418694701878,0.08152708840984246
0.33158020305510405,0.0996897351334809
0.6267100521365023,0.20615467028787293
0.41645165999040046,0.21364076498889517
0.6759399592581659,0.11716288286235965
0.20879684485127115,0.1397623462826445
0.04010156343981919,0.050388016462456164
0.32154107873417814,0.08975994353789929
0.06715062903313651,0.0620988892813088
0.3263476932350784,0.12936847595538126
0.3155624905718355,0.350341537415062
0.5696877661399498,0.32268017861220244
0.1659008196004521,0.1348094178706205
0.24876007364586883,0.1796712166226513
0.23615538803716163,0.12313017391534231
0.18180160292698133,0.1673133899634749
0.058161612946662444,0.08213079543443769
0.23530735692646942,0.11265013378529432
0.14880830256698374,0.0847876165928696
0.14150283745340175,0.09292213229067414
0.16748238599416254,0.08941154607726531
0.0935575614058024,0.10033652061699883
0.3543048886933846,0.22344596677120876
0.22520235886054252,0.10652839998302
0.3676837536007511,0.29919286442735427
0.19906609363962957,0.05729274835808695
0.631552050521357,0.4526471838759676
0.17388021143037946,0.10361872382176074
0.2260650628765788,0.09202231585586418
0.16364432292905917,0.09014508667112864
0.10796611054803407,0.05001808813479869
0.48810118941534597,0.6425214635554966
0.3462401205927179,0.1718402503468468
0.5310440452950331,0.2982550628673266
0.1617108702995651,0.09664904328381141
0.7166474590584713,0.23293086413890762
0.36419420811191117,0.07648890516292539
0.23515405353768415,0.10506146436136987
0.175638230757734,0.17253823630686327
0.6645704192747033,0.2142978097208399
0.9040864961375377,0.12438187839072867
0.7740015882028572,0.31764743107298443
0.9656234959281704,0.6004601624757697
0.1907600992238585,0.15261303342041543
0.19188218081892217,0.16644040248696967
0.08951809778817932,0.1720140865911688
0.19475479023493136,0.05482040215150619
0.4577993108306515,0.18620148071771325
0.10304676460420126,0.08140826871718332
0.2640490743240136,0.3293524619958106
0.113495817818837,0.12476512922565064
0.3057857176397789,0.19650700728161752
0.02470025557511235,0.011607462967141657
0.4949290246770701,0.20326369801058775
0.21790476665042746,0.13914700427974225
0.1367920775440794,0.10862808780689193
0.1851342671027396,0.09305119071606072
0.3134824108947001,0.12950825691683576
0.13998347631724783,0.3730372896754801
0.11215283583963043,0.05722631192774941
0.07979016335055888,0.04189651950556339
0.06846381251669698,0.07409695702977359
0.1515663862492147,0.1124190243040104
0.07092565559542408,0.0866869325840014
0.15593935619355648,0.2275751100851906
0.11447061363483613,0.20150185690064149
0.2741016950375865,0.1163204289805293
0.17048624889275743,0.09331463871196632
0.35303200889012487,0.0927040882306116
0.14952316227371654,0.12550847824346079
0.32177603224138096,0.08964805827812228
0.0880179104506098,0.04635714641401023
0.26430857540608343,0.1446869952922185
0.4252847779083808,0.23469600228610688
0.4174515427706069,0.1430499270453467
0.16244606195019884,0.1835633324712731
0.3228054551518298,0.07442483283386281
0.20099541704939128,0.25048804429593474
0.20347243399696424,0.182569110017738
0.24074890933739823,0.07099738437753444
0.1691561320127022,0.24070207265293675
0.11533002529431968,0.09995459619988623
0.20927303996700175,0.09188876039485905
0.051767372843848136,0.09072010399692942
0.10494195499719439,0.04865681554130674
0.13299669055435714,0.10188672668921583
0.14617090757789697,0.13234756945672643
0.029710666829117827,0.042245043556327744
0.20114883650509796,0.0570689913644884
0.35860002009242464,0.1611734669782834
0.15378794538968066,0.08497073447941972
0.12553681360563473,0.04326591462546503
0.042515066150720315,0.052068053609403364
0.5577510376123698,0.17222797040049898
0.1947379955110975,0.0846095682108583
0.06230169947962594,0.042320361938195106
0.07792037078519343,0.07058960789743907
0.06324522222377738,0.22493020171319245
0.15735934822808417,0.24681532275917561
0.25845499192765686,0.14357915352741202
0.24403451847972235,0.12833763175144952
0.26482088779832225,0.06180728255371548
0.14812860738219769,0.12622479788574736
0.26128585539726856,0.13874715122275205
0.12857241262462082,0.06270442936205711
0.21217618784834258,0.21055861628684625
0.26530092698579466,0.14147919802196895
0.2739269658482115,0.1530286728893202
0.49427433144148125,0.12439927787291083
0.7050430952168227,0.3141812238109907
0.5275661487099725,0.3677912148838658
0.08539195673716904,0.10351177728448846
0.1539299628306665,0.07721028795082674
0.06269478799599426,0.09332690311443059
0.4757608597805003,0.29023010633356705
0.09817875702318446,0.035650887083953364
0.4017554482946508,0.17869563172659042
0.4550418793722599,0.08944849357200724
0.2383379509297896,0.12969289781036508
0.12447051722875813,0.060055166206950616
0.21940204172335598,0.22671699219937125
0.45440135648102853,0.34325900494761896
0.1441671024511635,0.08456924091171913
0.44020667373016664,0.11541755963781952
0.4529960038291989,0.3574149806221385
0.41028000548856625,0.09401473869207422
0.16889180920646396,0.07693309699843809
0.11985040774256106,0.11693077574875588
0.09809757651707685,0.08598673766137921
0.49059114056922226,0.1586558257402828
0.24128790977768944,0.1054719006130469
0.2601193023326118,0.1207635489275134
0.2839644675857187,0.17558716402609775
0.24256586150542603,0.18622748392992605
0.3089417604138305,0.11434247418114296
0.1506732760939542,0.12050807966650012
0.18064887002943664,0.16921868168634546
0.18214493572989454,0.18885229612223497
0.13414632508255409,0.10194779445414781
0.22456045566813998,0.05964254639140876
0.7652757399655741,0.33676839807000647
0.6547178491212975,0.2502467232986234
0.1279513969840309,0.03604717828269344
0.19237789133431704,0.14850469557116952
0.10496055301682361,0.09033120450398258
0.316686827229411,0.14471885585170696
0.1802170282752371,0.05859676855745022
0.28392277160624246,0.14813778762206198
0.15936185952300264,0.07114347617002181
0.10056300995944412,0.06183283161283981
0.0739908096062365,0.11471730920185763
0.3070521816485794,0.1528226298841986
0.28869768169476373,0.12542079628425284
0.3979411727861901,0.41143114966109096
0.27119304235580444,0.06657908875095586
0.22557909953022204,0.12003438707870373
0.1368665747710054,0.0922347956128391
0.24710016920823819,0.3343127288718506
0.17533484421002044,0.16833678926820284
0.21936556314519606,0.06863853454481728
0.47497149211883993,0.2712656400674831
0.12515233583036434,0.07861744997116915
0.1960860079469242,0.1462567320741499
0.23696321647793184,0.1487669840759267
0.03121858041808423,0.08982266709337239
0.4209599247511804,0.1812294635438363
0.40784812606769094,0.188877846737725
0.09750944314159682,0.03132337967107901
0.3236638798119458,0.2309838199076495
0.2850158755709771,0.18991683873149157
0.09301889943188257,0.05867208501534549
0.2754873204680237,0.18608659018364193
0.15996057252232276,0.10683617943223567
0.7995534289852628,0.3313808801175
0.4925066183119071,0.06629202674277934
0.3341832289837896,0.1879473888685652
0.272328966942446,0.2159789560922576
0.1442155871354487,0.19628969376383765
0.1477962715136698,0.0714523454834648
0.5701285710254496,0.28887959135296626
0.28462512036274035,0.2291670342263501
0.35988074951018945,0.2848442620681908
0.26025091757495744,0.10394742372135823
0.3420188049073545,0.08030854546980493
0.13416988775604466,0.3239962233857483
0.09232000456593425,0.08798283951249886
0.37508797543042505,0.09388066470997103
0.17495206741531888,0.09546070973615173
0.12463589097724537,0.09697705210357555
0.1194061090911589,0.09625487474030336
0.057773159570686516,0.06491021493232552
0.3931771630162899,0.1943135595475809
0.18769685330977381,0.2044957464695898
0.33849275286593183,0.06656798361936467
0.29057344707577215,0.08378449740841631
0.23878663924269716,0.0561076718025717
0.3882663766379508,0.10424471749471564
0.21081224264935372,0.21155372930373062
0.12849040479244422,0.0743570272915548
0.338252807796664,0.10801195201575808
0.11533332611763569,0.07899546490709497
0.08116272132683378,0.0497107931008145
0.1829034177516604,0.08928437197452865
0.12144888886898286,0.06870539770128659
0.4598757217318905,0.16886428613432258
0.5088680417889719,0.2820140822739745
0.31357980030286114,0.16925253695201548
0.5184771832772554,0.2425446684402388
0.25901777612115495,0.14305312392380642
0.22849044985942157,0.19070325949893174
0.23622581409525623,0.19473767268676312
0.16469050469258661,0.14699173776459418
0.5328001903624937,0.28594926520052155
0.089287847854429,0.08632266285776069
0.5226143541712176,0.3723615821931858
