Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
6.3000         -5911.81     -5975.58        63.76   287.5
6.3500         -5905.79     -5973.21        67.42   304.0
6.4000         -5904.89     -5970.36        65.46   295.1
6.4500         -5906.56     -5972.08        65.52   295.4
6.5000         -5907.60     -5971.89        64.29   289.8
6.5500         -5904.32     -5971.45        67.13   302.6
6.6000         -5906.43     -5972.46        66.03   297.7
6.6500         -5907.11     -5974.98        67.87   306.0
6.7000         -5906.92     -5973.86        66.95   301.8
6.7500         -5909.49     -5974.85        65.36   294.7
6.8000         -5907.49     -5974.42        66.93   301.8
6.8500         -5906.03     -5971.93        65.90   297.1
6.9000         -5903.09     -5972.04        68.95   310.8
6.9500         -5909.77     -5975.33        65.55   295.5
7.0000         -5910.64     -5976.07        65.43   295.0
7.0500         -5903.72     -5972.53        68.81   310.2
7.1000         -5906.42     -5972.14        65.72   296.3
7.1500         -5908.11     -5973.23        65.12   293.6
7.2000         -5909.20     -5975.08        65.88   297.0
7.2500         -5908.41     -5975.49        67.08   302.4
7.3000         -5907.02     -5973.72        66.70   300.7
7.3500         -5906.38     -5973.88        67.50   304.3
7.4000         -5909.05     -5973.33        64.28   289.8
7.4500         -5904.53     -5971.70        67.17   302.8
7.5000         -5903.80     -5971.49        67.69   305.2
7.5500         -5910.13     -5974.76        64.63   291.4
7.6000         -5905.18     -5973.89        68.71   309.7
7.6500         -5906.78     -5973.59        66.81   301.2
7.7000         -5908.82     -5974.22        65.40   294.9
7.7500         -5905.21     -5972.52        67.32   303.5
7.8000         -5909.37     -5975.40        66.03   297.7
7.8500         -5913.06     -5979.46        66.40   299.4
7.9000         -5908.98     -5976.95        67.96   306.4
7.9500         -5909.00     -5975.97        66.97   301.9
8.0000         -5910.84     -5976.25        65.41   294.9
8.0500         -5907.95     -5974.89        66.93   301.8
8.1000         -5908.63     -5973.65        65.01   293.1
8.1500         -5909.04     -5976.64        67.60   304.8
8.2000         -5908.09     -5974.97        66.88   301.5
8.2500         -5908.65     -5974.29        65.65   296.0
8.3000         -5907.04     -5972.54        65.50   295.3
8.3500         -5906.04     -5972.91        66.87   301.5
8.4000         -5910.20     -5976.64        66.44   299.5
8.4500         -5909.36     -5977.08        67.72   305.3
8.5000         -5906.02     -5975.07        69.05   311.3
8.5500         -5908.21     -5974.27        66.06   297.8
8.6000         -5908.67     -5974.33        65.66   296.0
8.6500         -5908.15     -5974.42        66.27   298.8
8.7000         -5910.29     -5973.93        63.64   286.9
8.7500         -5904.75     -5973.10        68.35   308.1
8.8000         -5907.79     -5973.53        65.74   296.4
8.8500         -5909.44     -5974.36        64.92   292.7
8.9000         -5904.49     -5972.85        68.36   308.2
8.9500         -5905.96     -5973.61        67.65   305.0
9.0000         -5908.32     -5975.70        67.39   303.8
9.0500         -5909.66     -5977.33        67.67   305.1
9.1000         -5912.37     -5977.08        64.71   291.7
9.1500         -5908.43     -5975.24        66.81   301.2
9.2000         -5906.42     -5971.99        65.57   295.6
9.2500         -5905.16     -5970.85        65.68   296.1
9.3000         -5906.69     -5974.38        67.69   305.2
9.3500         -5911.39     -5974.89        63.50   286.3
9.4000         -5904.10     -5974.37        70.27   316.8
9.4500         -5909.38     -5975.16        65.78   296.6
9.5000         -5905.77     -5975.50        69.72   314.3
9.5500         -5912.00     -5976.23        64.23   289.6
9.6000         -5911.51     -5975.74        64.24   289.6
9.6500         -5903.46     -5972.41        68.95   310.9
9.7000         -5908.75     -5974.12        65.37   294.7
9.7500         -5908.24     -5975.49        67.25   303.2
9.8000         -5909.89     -5974.54        64.65   291.5
9.8500         -5905.30     -5974.21        68.91   310.7
9.9000         -5906.85     -5973.83        66.99   302.0
9.9500         -5911.74     -5976.51        64.76   292.0
10.0000        -5909.35     -5977.05        67.69   305.2
10.0500        -5910.26     -5977.09        66.84   301.3
10.1000        -5909.78     -5977.11        67.32   303.5
10.1500        -5910.60     -5974.92        64.32   290.0
10.2000        -5906.93     -5975.24        68.31   308.0
10.2500        -5908.25     -5975.91        67.67   305.1
10.3000        -5909.63     -5976.63        67.00   302.1
10.3500        -5907.81     -5976.12        68.31   308.0
10.4000        -5909.50     -5975.68        66.18   298.4
10.4500        -5908.63     -5975.45        66.82   301.2
10.5000        -5908.17     -5974.98        66.80   301.2
10.5500        -5908.69     -5974.35        65.66   296.0
10.6000        -5905.12     -5971.87        66.75   300.9
10.6500        -5909.91     -5975.35        65.44   295.0
10.7000        -5908.99     -5975.29        66.30   298.9
10.7500        -5906.25     -5973.23        66.99   302.0
10.8000        -5907.11     -5974.32        67.21   303.0
10.8500        -5909.50     -5977.06        67.56   304.6
10.9000        -5910.69     -5976.12        65.43   295.0
10.9500        -5907.80     -5975.51        67.71   305.3
11.0000        -5910.83     -5976.59        65.76   296.5
11.0500        -5909.50     -5976.91        67.41   303.9
11.1000        -5909.45     -5974.97        65.52   295.4
11.1500        -5910.87     -5978.08        67.21   303.0
11.2000        -5911.36     -5978.06        66.70   300.7
11.2500        -5907.33     -5974.65        67.32   303.5
11.3000        -5907.09     -5975.87        68.78   310.1
11.3500        -5912.16     -5976.41        64.25   289.7
11.4000        -5906.48     -5972.93        66.45   299.6
11.4500        -5908.45     -5974.17        65.72   296.3
11.5000        -5908.50     -5973.87        65.36   294.7
11.5500        -5905.08     -5972.28        67.20   303.0
11.6000        -5907.79     -5974.24        66.45   299.6
11.6500        -5911.26     -5975.09        63.83   287.8
11.7000        -5907.36     -5974.81        67.46   304.1
11.7500        -5905.88     -5974.28        68.40   308.4
11.8000        -5911.95     -5976.67        64.72   291.8
11.8500        -5910.19     -5978.18        67.99   306.5
11.9000        -5909.83     -5977.72        67.90   306.1
11.9500        -5913.02     -5977.80        64.78   292.0
12.0000        -5912.89     -5979.49        66.60   300.3
12.0500        -5908.63     -5974.00        65.37   294.7
12.1000        -5906.20     -5973.57        67.37   303.7
12.1500        -5908.86     -5972.97        64.11   289.0
12.2000        -5907.25     -5973.03        65.78   296.6
12.2500        -5908.43     -5975.76        67.32   303.5
12.3000        -5910.84     -5977.72        66.88   301.5
12.3500        -5911.60     -5978.24        66.64   300.5
12.4000        -5909.65     -5977.56        67.91   306.2
12.4500        -5908.74     -5975.66        66.92   301.7
12.5000        -5909.93     -5976.33        66.40   299.4
12.5500        -5906.55     -5973.21        66.67   300.6
12.6000        -5907.57     -5975.22        67.65   305.0
12.6500        -5913.07     -5978.08        65.02   293.1
12.7000        -5909.14     -5976.55        67.42   303.9
12.7500        -5909.85     -5976.30        66.45   299.6
12.8000        -5908.74     -5975.38        66.64   300.4
12.8500        -5908.05     -5975.48        67.43   304.0
12.9000        -5910.82     -5977.09        66.26   298.7
12.9500        -5908.92     -5975.86        66.94   301.8
13.0000        -5910.96     -5977.66        66.71   300.7
13.0500        -5912.19     -5979.49        67.31   303.4
13.1000        -5910.58     -5977.64        67.06   302.3
13.1500        -5909.66     -5976.94        67.28   303.3
13.2000        -5909.64     -5977.16        67.52   304.4
13.2500        -5911.79     -5976.48        64.69   291.7
13.3000        -5913.93     -5979.63        65.70   296.2
13.3500        -5914.74     -5980.05        65.31   294.4
13.4000        -5912.45     -5980.50        68.05   306.8
13.4500        -5912.92     -5977.48        64.56   291.0
13.5000        -5909.05     -5978.55        69.50   313.3
13.5500        -5911.84     -5977.82        65.97   297.4
13.6000        -5913.02     -5978.73        65.70   296.2
13.6500        -5907.85     -5976.39        68.54   309.0
13.7000        -5909.52     -5976.59        67.07   302.4
13.7500        -5911.55     -5977.32        65.77   296.5
13.8000        -5909.23     -5976.32        67.09   302.5
13.8500        -5909.72     -5976.75        67.03   302.2
13.9000        -5911.27     -5978.76        67.49   304.3
13.9500        -5913.95     -5978.85        64.90   292.6
14.0000        -5911.08     -5976.94        65.87   297.0
14.0500        -5910.65     -5975.67        65.02   293.2
14.1000        -5912.87     -5978.39        65.52   295.4
14.1500        -5911.83     -5978.44        66.62   300.3
14.2000        -5909.65     -5974.81        65.16   293.8
14.2500        -5906.67     -5975.88        69.22   312.1
14.3000        -5917.26     -5979.99        62.73   282.8
14.3500        -5908.96     -5976.69        67.73   305.3
14.4000        -5906.16     -5974.73        68.57   309.1
14.4500        -5914.55     -5978.20        63.65   287.0
14.5000        -5908.52     -5975.85        67.32   303.5
14.5500        -5908.69     -5975.27        66.59   300.2
14.6000        -5909.50     -5976.81        67.32   303.5
14.6500        -5909.51     -5974.42        64.91   292.6
14.7000        -5906.71     -5975.10        68.39   308.3
14.7500        -5912.95     -5978.24        65.29   294.4
14.8000        -5912.58     -5978.52        65.95   297.3
14.8500        -5906.89     -5974.85        67.96   306.4
14.9000        -5909.35     -5975.37        66.02   297.6
14.9500        -5910.75     -5976.56        65.80   296.7
15.0000        -5908.32     -5974.42        66.10   298.0
15.0500        -5908.98     -5974.74        65.76   296.5
15.1000        -5910.96     -5976.36        65.40   294.8
15.1500        -5909.06     -5977.57        68.51   308.9
15.2000        -5911.40     -5976.85        65.45   295.1
15.2500        -5910.69     -5978.31        67.62   304.9
15.3000        -5912.27     -5978.75        66.48   299.7
15.3500        -5910.74     -5977.43        66.70   300.7
15.4000        -5911.82     -5978.73        66.91   301.7
15.4500        -5913.56     -5979.30        65.74   296.4
15.5000        -5909.25     -5976.57        67.33   303.5
15.5500        -5908.46     -5976.63        68.17   307.3
15.6000        -5912.08     -5978.03        65.95   297.3
15.6500        -5909.59     -5977.45        67.86   305.9
15.7000        -5910.52     -5977.56        67.04   302.3
15.7500        -5911.35     -5976.07        64.72   291.8
15.8000        -5906.45     -5975.04        68.58   309.2
15.8500        -5910.69     -5975.98        65.29   294.3
15.9000        -5913.07     -5979.52        66.45   299.6
15.9500        -5913.81     -5978.72        64.90   292.6
16.0000        -5909.12     -5976.17        67.05   302.3
16.0500        -5910.15     -5977.25        67.11   302.5
16.1000        -5913.01     -5976.60        63.59   286.7
16.1500        -5910.44     -5977.84        67.40   303.8
16.2000        -5912.38     -5978.98        66.59   300.2
16.2500        -5912.35     -5978.02        65.68   296.1
16.3000        -5910.19     -5977.00        66.81   301.2
16.3500        -5908.85     -5975.11        66.27   298.8
16.4000        -5911.96     -5979.00        67.05   302.3
16.4500        -5915.08     -5979.92        64.84   292.3
16.5000        -5913.57     -5978.34        64.77   292.0
16.5500        -5910.81     -5977.54        66.73   300.8
16.6000        -5910.83     -5977.94        67.11   302.6
16.6500        -5912.45     -5977.16        64.71   291.7
16.7000        -5908.08     -5976.42        68.33   308.1
16.7500        -5911.39     -5977.30        65.92   297.2
16.8000        -5910.97     -5977.25        66.28   298.8
16.8500        -5910.24     -5975.96        65.72   296.3
16.9000        -5911.48     -5976.64        65.16   293.8
16.9500        -5914.88     -5980.79        65.91   297.2
17.0000        -5912.82     -5978.63        65.81   296.7
17.0500        -5908.01     -5975.24        67.23   303.1
17.1000        -5913.96     -5978.08        64.12   289.1
17.1500        -5909.97     -5976.83        66.86   301.4
17.2000        -5908.27     -5976.07        67.81   305.7
17.2500        -5911.70     -5978.18        66.48   299.7
17.3000        -5911.82     -5978.87        67.05   302.3
17.3500        -5910.92     -5977.60        66.69   300.6
17.4000        -5912.11     -5977.97        65.86   296.9
17.4500        -5914.49     -5978.67        64.17   289.3
17.5000        -5908.86     -5976.10        67.24   303.1
17.5500        -5912.80     -5979.48        66.68   300.6
17.6000        -5912.76     -5979.59        66.83   301.3
17.6500        -5909.90     -5977.75        67.85   305.9
17.7000        -5910.76     -5978.45        67.69   305.2
17.7500        -5909.04     -5976.57        67.53   304.4
17.8000        -5910.69     -5976.50        65.81   296.7
