Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
6.3000         -5923.40     -5991.81        68.41   308.4
6.3500         -5927.80     -5994.06        66.26   298.7
6.4000         -5929.03     -5994.85        65.81   296.7
6.4500         -5925.09     -5991.90        66.82   301.2
6.5000         -5926.05     -5991.33        65.28   294.3
6.5500         -5930.38     -5993.68        63.30   285.4
6.6000         -5926.89     -5992.51        65.62   295.8
6.6500         -5922.06     -5990.44        68.38   308.3
6.7000         -5928.40     -5994.47        66.07   297.9
6.7500         -5925.91     -5996.37        70.45   317.6
6.8000         -5928.56     -5995.22        66.66   300.5
6.8500         -5926.64     -5993.32        66.68   300.6
6.9000         -5927.08     -5992.90        65.81   296.7
6.9500         -5927.43     -5992.67        65.24   294.1
7.0000         -5924.52     -5991.62        67.09   302.5
7.0500         -5925.12     -5991.45        66.32   299.0
7.1000         -5925.49     -5992.68        67.19   302.9
7.1500         -5924.47     -5992.87        68.40   308.4
7.2000         -5926.58     -5994.53        67.95   306.3
7.2500         -5930.09     -5995.94        65.85   296.9
7.3000         -5925.49     -5992.19        66.70   300.7
7.3500         -5922.97     -5989.40        66.43   299.5
7.4000         -5928.80     -5994.41        65.61   295.8
7.4500         -5927.93     -5994.41        66.48   299.7
7.5000         -5924.21     -5991.49        67.28   303.3
7.5500         -5925.95     -5991.69        65.74   296.4
7.6000         -5927.71     -5994.84        67.13   302.7
7.6500         -5927.69     -5993.69        66.00   297.5
7.7000         -5927.58     -5995.84        68.26   307.7
7.7500         -5930.37     -5995.20        64.83   292.3
7.8000         -5926.25     -5993.06        66.81   301.2
7.8500         -5922.93     -5990.78        67.85   305.9
7.9000         -5929.59     -5993.55        63.96   288.4
7.9500         -5925.31     -5994.39        69.08   311.4
8.0000         -5924.30     -5991.02        66.72   300.8
8.0500         -5926.22     -5993.63        67.41   303.9
8.1000         -5929.37     -5994.28        64.91   292.6
8.1500         -5928.79     -5993.89        65.10   293.5
8.2000         -5927.00     -5996.07        69.07   311.4
8.2500         -5930.80     -5996.37        65.57   295.6
8.3000         -5927.29     -5994.08        66.79   301.1
8.3500         -5926.25     -5993.69        67.44   304.1
8.4000         -5929.93     -5994.69        64.76   291.9
8.4500         -5929.93     -5997.77        67.84   305.8
8.5000         -5931.05     -5998.30        67.25   303.2
8.5500         -5928.79     -5995.70        66.91   301.7
8.6000         -5927.66     -5994.94        67.28   303.3
8.6500         -5926.79     -5994.56        67.77   305.5
