Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -9.9199     -10.0480       0.1280   330.2
0.0500          -9.9095     -10.0358       0.1263   325.7
0.1000          -9.9273     -10.0059       0.0786   202.7
0.1500          -9.9215     -10.0036       0.0821   211.7
0.2000          -9.9116      -9.9981       0.0865   223.1
0.2500          -9.9360     -10.0412       0.1052   271.2
0.3000          -9.9326     -10.0431       0.1104   284.8
0.3500          -9.9145      -9.9937       0.0792   204.3
0.4000          -9.9270      -9.9992       0.0722   186.1
0.4500          -9.9436     -10.0295       0.0859   221.6
0.5000          -9.9289     -10.0333       0.1044   269.1
0.5500          -9.9443     -10.0428       0.0985   254.0
0.6000          -9.9393     -10.0394       0.1001   258.1
0.6500          -9.9366     -10.0234       0.0868   223.7
0.7000          -9.9080     -10.0289       0.1209   311.8
0.7500          -9.9151     -10.0333       0.1182   304.9
0.8000          -9.9060     -10.0246       0.1186   305.9
0.8500          -9.8984     -10.0323       0.1339   345.2
0.9000          -9.9127     -10.0348       0.1221   314.9
0.9500          -9.9214     -10.0312       0.1098   283.1
1.0000          -9.9147     -10.0042       0.0894   230.6
1.0500          -9.8860      -9.9959       0.1099   283.3
1.1000          -9.9018     -10.0444       0.1426   367.8
1.1500          -9.8598     -10.0129       0.1531   394.9
1.2000          -9.8624      -9.9853       0.1228   316.8
1.2500          -9.8764      -9.9690       0.0926   238.8
1.3000          -9.8787     -10.0413       0.1625   419.1
1.3500          -9.8772      -9.9805       0.1033   266.3
1.4000          -9.8825      -9.9631       0.0807   208.0
1.4500          -9.8680      -9.9911       0.1230   317.3
1.5000          -9.8532     -10.0181       0.1650   425.4
1.5500          -9.8280      -9.9229       0.0949   244.7
1.6000          -9.8219      -9.9253       0.1034   266.6
1.6500          -9.8025     -10.0208       0.2183   562.8
1.7000          -9.7636      -9.8562       0.0926   238.9
1.7500          -9.7700      -9.9185       0.1485   382.9
1.8000          -9.7744     -10.0181       0.2437   628.4
1.8500          -9.7834      -9.8797       0.0963   248.3
1.9000          -9.7659      -9.9236       0.1577   406.6
1.9500          -9.7688     -10.0385       0.2697   695.5
2.0000          -9.7337      -9.8697       0.1360   350.6
2.0500          -9.7068      -9.9706       0.2638   680.2
2.1000          -9.7276      -9.9649       0.2374   612.2
2.1500          -9.6886      -9.8472       0.1586   409.0
2.2000          -9.6900      -9.9631       0.2731   704.4
2.2500          -9.7062      -9.9287       0.2225   573.7
2.3000          -9.6626     -10.0204       0.3578   922.7
2.3500          -9.6077      -9.9415       0.3338   860.8
2.4000          -9.6294      -9.9475       0.3181   820.3
2.4500          -9.5828      -9.9860       0.4032  1039.9
2.5000          -9.5587      -9.8917       0.3330   858.7
2.5500          -9.5719     -10.0335       0.4615  1190.2
2.6000          -9.5283      -9.9340       0.4057  1046.2
2.6500          -9.5129      -9.8211       0.3082   794.7
2.7000          -9.5874     -10.0037       0.4163  1073.7
2.7500          -9.6168      -9.9634       0.3466   893.7
2.8000          -9.6590      -9.9041       0.2451   632.0
2.8500          -9.6446      -9.9166       0.2720   701.5
2.9000          -9.5837      -9.8435       0.2598   669.9
2.9500          -9.5695      -9.9927       0.4232  1091.3
3.0000          -9.5900     -10.0113       0.4213  1086.5
3.0500          -9.5975      -9.7327       0.1352   348.7
3.1000          -9.6715      -9.9111       0.2395   617.7
3.1500          -9.6815      -9.9416       0.2602   670.9
3.2000          -9.6469      -9.8583       0.2114   545.0
3.2500          -9.6465      -9.8536       0.2071   534.0
3.3000          -9.6935      -9.9013       0.2078   535.9
3.3500          -9.6865      -9.9095       0.2231   575.3
3.4000          -9.6850      -9.8489       0.1639   422.7
3.4500          -9.6910      -9.8918       0.2007   517.6
3.5000          -9.6853      -9.9477       0.2624   676.7
3.5500          -9.6585      -9.8710       0.2125   548.0
3.6000          -9.6555      -9.8676       0.2120   546.8
3.6500          -9.6972      -9.9716       0.2744   707.7
3.7000          -9.6630      -9.8616       0.1985   512.0
3.7500          -9.6824      -9.8611       0.1787   460.9
3.8000          -9.6709      -9.8804       0.2095   540.2
3.8500          -9.6689      -9.9580       0.2890   745.3
3.9000          -9.6822      -9.8912       0.2090   538.9
3.9500          -9.6305      -9.8397       0.2093   539.7
4.0000          -9.6451      -9.8975       0.2524   650.9
4.0500          -9.5760      -9.7843       0.2083   537.1
4.1000          -9.5634      -9.8436       0.2802   722.6
4.1500          -9.5706      -9.8729       0.3023   779.7
4.2000          -9.5730      -9.8830       0.3100   799.4
4.2500          -9.5221      -9.9306       0.4086  1053.6
4.3000          -9.4378      -9.7554       0.3177   819.2
4.3500          -9.4817      -9.8970       0.4153  1071.0
4.4000          -9.5404      -9.8441       0.3037   783.2
4.4500          -9.6124      -9.9514       0.3390   874.2
4.5000          -9.5792      -9.9376       0.3584   924.2
4.5500          -9.5590      -9.8320       0.2731   704.2
4.6000          -9.5894      -9.9889       0.3995  1030.2
4.6500          -9.6287      -9.9564       0.3277   845.1
4.7000          -9.6148      -9.8609       0.2461   634.7
4.7500          -9.5708      -9.8463       0.2755   710.6
4.8000          -9.6263      -9.9261       0.2998   773.0
4.8500          -9.6181      -9.8694       0.2513   648.0
4.9000          -9.6421      -9.9554       0.3133   807.8
4.9500          -9.6051      -9.8236       0.2185   563.5
5.0000          -9.5711      -9.8520       0.2810   724.5
5.0500          -9.6011      -9.8277       0.2266   584.4
5.1000          -9.5673     -10.0033       0.4361  1124.5
5.1500          -9.5326      -9.9767       0.4441  1145.2
5.2000          -9.4860      -9.9287       0.4427  1141.5
5.2500          -9.4793      -9.8859       0.4067  1048.7
5.3000          -9.4971      -9.8081       0.3110   802.1
5.3500          -9.4885      -9.9867       0.4982  1284.9
5.4000          -9.5160      -9.8057       0.2897   747.0
5.4500          -9.5544      -9.7815       0.2271   585.7
5.5000          -9.6088      -9.7874       0.1786   460.7
5.5500          -9.5570     -10.0201       0.4631  1194.2
5.6000          -9.5649     -10.0340       0.4691  1209.6
5.6500          -9.5076      -9.7826       0.2749   709.0
5.7000          -9.5190      -9.8217       0.3027   780.6
5.7500          -9.4916      -9.7786       0.2869   740.0
5.8000          -9.5083     -10.0036       0.4953  1277.3
5.8500          -9.5101      -9.9275       0.4175  1076.5
5.9000          -9.5297      -9.8799       0.3502   903.1
5.9500          -9.5078      -9.8527       0.3449   889.4
6.0000          -9.4934      -9.8115       0.3181   820.4
6.0500          -9.4746      -9.9332       0.4587  1182.9
6.1000          -9.4891      -9.8761       0.3870   998.0
6.1500          -9.5399     -10.0026       0.4627  1193.3
6.2000          -9.5761      -9.9480       0.3719   959.0
6.2500          -9.4510      -9.8799       0.4290  1106.2
6.3000          -9.4749     -10.0105       0.5356  1381.3
6.3500          -9.4150     -10.0319       0.6169  1590.8
6.4000          -9.4748      -9.8834       0.4086  1053.6
6.4500          -9.4643      -9.9085       0.4442  1145.6
6.5000          -9.5369      -9.8018       0.2649   683.1
6.5500          -9.5735      -9.9033       0.3299   850.7
6.6000          -9.5571      -9.8550       0.2979   768.1
6.6500          -9.6093     -10.0177       0.4084  1053.2
6.7000          -9.6391      -9.9826       0.3435   885.7
6.7500          -9.6257      -9.8009       0.1752   451.9
6.8000          -9.6062      -9.8175       0.2113   545.0
6.8500          -9.5835      -9.7925       0.2090   538.8
6.9000          -9.6241      -9.9666       0.3425   883.3
6.9500          -9.6276      -9.8568       0.2291   590.9
7.0000          -9.6148      -9.9728       0.3580   923.2
7.0500          -9.6249      -9.8929       0.2680   691.1
7.1000          -9.6397      -9.7647       0.1250   322.2
7.1500          -9.6761      -9.8679       0.1918   494.7
7.2000          -9.6769      -9.8357       0.1588   409.6
7.2500          -9.6641      -9.9514       0.2873   741.0
7.3000          -9.6221      -9.8736       0.2515   648.6
7.3500          -9.6952     -10.0278       0.3325   857.5
7.4000          -9.6960      -9.9201       0.2241   577.8
7.4500          -9.7302      -9.8644       0.1342   346.0
7.5000          -9.6929      -9.9175       0.2246   579.3
7.5500          -9.6910     -10.0276       0.3366   868.1
7.6000          -9.6710      -9.9936       0.3226   831.8
7.6500          -9.6629      -9.9466       0.2837   731.6
7.7000          -9.6835      -9.9010       0.2175   560.8
7.7500          -9.7276      -9.8436       0.1159   299.0
7.8000          -9.7394     -10.0111       0.2717   700.6
7.8500          -9.7664     -10.0113       0.2449   631.5
7.9000          -9.7758      -9.8554       0.0796   205.4
7.9500          -9.7338     -10.0416       0.3078   793.7
8.0000          -9.6870     -10.0237       0.3367   868.3
8.0500          -9.7103      -9.9810       0.2707   698.0
8.1000          -9.6925      -9.9781       0.2856   736.5
8.1500          -9.6621      -9.7854       0.1233   318.1
8.2000          -9.6534      -9.9597       0.3063   789.8
8.2500          -9.6783      -9.9924       0.3141   809.9
8.3000          -9.6907      -9.9352       0.2445   630.6
8.3500          -9.7039      -9.9716       0.2677   690.3
8.4000          -9.7127      -9.9451       0.2324   599.4
8.4500          -9.7481      -9.9291       0.1810   466.8
8.5000          -9.7474      -9.9811       0.2337   602.7
8.5500          -9.7205      -9.9811       0.2607   672.2
8.6000          -9.7057      -9.9311       0.2254   581.2
8.6500          -9.6662      -9.8555       0.1893   488.1
8.7000          -9.6607      -9.9579       0.2973   766.6
8.7500          -9.6476      -9.9154       0.2678   690.7
8.8000          -9.6480     -10.0425       0.3945  1017.3
8.8500          -9.6060      -9.8470       0.2410   621.5
8.9000          -9.6248      -9.9954       0.3706   955.6
8.9500          -9.6432      -9.8326       0.1894   488.5
9.0000          -9.6752      -9.9754       0.3003   774.4
9.0500          -9.7071      -9.9311       0.2240   577.7
9.1000          -9.7040      -9.9026       0.1985   512.0
9.1500          -9.6968     -10.0192       0.3224   831.4
9.2000          -9.6783      -9.8509       0.1726   445.0
9.2500          -9.6788     -10.0304       0.3516   906.7
9.3000          -9.6938      -9.8769       0.1831   472.3
9.3500          -9.6860      -9.9110       0.2250   580.2
9.4000          -9.6124      -9.9293       0.3169   817.2
9.4500          -9.5777      -9.8439       0.2662   686.3
9.5000          -9.5598      -9.8722       0.3124   805.6
9.5500          -9.5836      -9.7628       0.1792   462.1
9.6000          -9.6243      -9.9724       0.3481   897.8
9.6500          -9.6107      -9.8763       0.2657   685.2
9.7000          -9.6256      -9.8939       0.2683   691.8
9.7500          -9.5784      -9.6725       0.0941   242.6
9.8000          -9.5978      -9.8816       0.2839   732.0
9.8500          -9.6131      -9.9673       0.3543   913.6
9.9000          -9.5667      -9.9475       0.3808   982.0
