Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -5958.81     -6027.48        68.67   309.6
0.0500         -5905.14     -5985.62        80.49   362.9
0.1000         -5886.78     -5960.70        73.92   333.3
0.1500         -5915.47     -5973.08        57.61   259.7
0.2000         -5896.10     -5965.46        69.35   312.7
0.2500         -5893.84     -5961.12        67.28   303.3
0.3000         -5896.59     -5965.23        68.65   309.5
0.3500         -5906.87     -5969.01        62.14   280.2
0.4000         -5896.64     -5968.02        71.38   321.8
0.4500         -5902.65     -5967.71        65.06   293.3
0.5000         -5904.98     -5968.73        63.75   287.4
0.5500         -5898.00     -5968.62        70.62   318.4
0.6000         -5906.40     -5971.46        65.05   293.3
0.6500         -5901.52     -5971.49        69.97   315.5
0.7000         -5904.71     -5970.00        65.30   294.4
0.7500         -5899.53     -5968.48        68.95   310.9
0.8000         -5899.07     -5965.82        66.75   300.9
0.8500         -5901.07     -5966.19        65.12   293.6
0.9000         -5899.39     -5965.36        65.97   297.4
0.9500         -5903.99     -5969.64        65.64   295.9
1.0000         -5903.56     -5969.61        66.05   297.8
1.0500         -5902.04     -5967.37        65.33   294.5
1.1000         -5901.43     -5968.31        66.88   301.5
1.1500         -5906.91     -5971.02        64.11   289.0
1.2000         -5902.31     -5969.56        67.25   303.2
1.2500         -5901.33     -5967.79        66.47   299.7
1.3000         -5905.05     -5971.41        66.36   299.2
1.3500         -5903.53     -5971.56        68.03   306.7
1.4000         -5907.93     -5973.23        65.30   294.4
1.4500         -5903.46     -5971.65        68.19   307.4
1.5000         -5905.53     -5970.39        64.86   292.4
1.5500         -5904.77     -5972.41        67.63   304.9
1.6000         -5907.89     -5973.22        65.33   294.5
1.6500         -5907.01     -5971.85        64.84   292.3
1.7000         -5902.29     -5970.68        68.39   308.3
1.7500         -5908.99     -5971.92        62.93   283.7
1.8000         -5900.32     -5969.20        68.88   310.5
1.8500         -5901.56     -5967.25        65.69   296.2
1.9000         -5904.85     -5971.11        66.26   298.7
1.9500         -5906.55     -5972.66        66.12   298.1
2.0000         -5906.63     -5972.08        65.45   295.1
2.0500         -5906.03     -5971.50        65.47   295.2
2.1000         -5905.32     -5969.83        64.51   290.8
2.1500         -5901.86     -5970.58        68.71   309.8
2.2000         -5905.54     -5971.97        66.43   299.5
2.2500         -5908.04     -5972.88        64.84   292.3
2.3000         -5907.41     -5974.38        66.97   301.9
2.3500         -5905.68     -5972.28        66.60   300.3
2.4000         -5907.03     -5973.84        66.81   301.2
2.4500         -5907.56     -5974.07        66.51   299.8
2.5000         -5905.01     -5974.23        69.22   312.1
2.5500         -5905.24     -5973.50        68.27   307.8
2.6000         -5906.81     -5974.65        67.84   305.9
2.6500         -5909.03     -5973.39        64.35   290.1
2.7000         -5905.55     -5972.55        67.00   302.0
2.7500         -5907.28     -5972.85        65.57   295.6
2.8000         -5907.93     -5972.71        64.79   292.1
2.8500         -5903.90     -5972.87        68.97   310.9
2.9000         -5908.10     -5973.83        65.73   296.3
2.9500         -5909.18     -5976.41        67.24   303.1
3.0000         -5907.44     -5973.19        65.75   296.4
3.0500         -5906.81     -5973.03        66.23   298.6
3.1000         -5906.73     -5971.57        64.85   292.4
3.1500         -5906.08     -5972.44        66.36   299.2
3.2000         -5907.23     -5972.72        65.48   295.2
3.2500         -5909.18     -5974.97        65.79   296.6
3.3000         -5907.40     -5973.55        66.15   298.2
3.3500         -5907.89     -5974.06        66.17   298.3
3.4000         -5907.03     -5973.26        66.23   298.6
3.4500         -5904.37     -5970.81        66.44   299.5
3.5000         -5906.39     -5970.84        64.45   290.6
3.5500         -5906.66     -5972.57        65.92   297.2
3.6000         -5905.89     -5972.53        66.63   300.4
3.6500         -5903.15     -5971.07        67.92   306.2
3.7000         -5904.80     -5970.80        66.00   297.5
3.7500         -5907.61     -5973.19        65.59   295.7
3.8000         -5908.12     -5973.09        64.96   292.9
3.8500         -5908.43     -5975.01        66.59   300.2
3.9000         -5909.83     -5977.04        67.21   303.0
3.9500         -5909.96     -5977.28        67.32   303.5
4.0000         -5907.67     -5974.00        66.33   299.0
4.0500         -5906.28     -5973.03        66.75   300.9
4.1000         -5909.48     -5975.66        66.18   298.3
4.1500         -5909.91     -5977.44        67.52   304.4
4.2000         -5909.85     -5977.98        68.14   307.2
4.2500         -5912.11     -5977.41        65.30   294.4
4.3000         -5908.38     -5975.56        67.18   302.9
4.3500         -5907.40     -5974.13        66.73   300.8
4.4000         -5907.66     -5974.45        66.78   301.1
4.4500         -5912.34     -5979.15        66.81   301.2
4.5000         -5913.59     -5977.89        64.30   289.9
4.5500         -5908.69     -5976.18        67.49   304.3
4.6000         -5913.33     -5978.88        65.55   295.5
4.6500         -5910.31     -5976.44        66.13   298.1
4.7000         -5908.93     -5975.42        66.49   299.8
4.7500         -5909.35     -5976.07        66.72   300.8
4.8000         -5910.72     -5977.04        66.32   299.0
4.8500         -5908.62     -5975.29        66.67   300.6
4.9000         -5909.45     -5974.36        64.91   292.6
4.9500         -5910.34     -5974.82        64.47   290.7
5.0000         -5905.12     -5974.14        69.01   311.1
5.0500         -5909.35     -5976.00        66.65   300.5
5.1000         -5911.80     -5978.09        66.29   298.9
5.1500         -5907.98     -5975.03        67.05   302.3
5.2000         -5906.68     -5973.53        66.84   301.4
5.2500         -5909.20     -5976.69        67.49   304.3
5.3000         -5911.20     -5977.07        65.86   296.9
5.3500         -5909.79     -5976.89        67.10   302.5
5.4000         -5908.43     -5974.63        66.19   298.4
5.4500         -5908.59     -5975.01        66.42   299.4
5.5000         -5909.39     -5975.02        65.64   295.9
5.5500         -5908.61     -5974.34        65.74   296.4
5.6000         -5910.61     -5976.37        65.76   296.5
5.6500         -5906.69     -5973.74        67.06   302.3
5.7000         -5908.61     -5973.57        64.96   292.9
5.7500         -5911.04     -5975.44        64.39   290.3
5.8000         -5908.48     -5974.55        66.07   297.9
5.8500         -5910.28     -5978.37        68.09   307.0
5.9000         -5912.79     -5978.94        66.16   298.3
5.9500         -5911.17     -5978.63        67.47   304.2
6.0000         -5912.91     -5979.76        66.86   301.4
6.0500         -5912.64     -5979.78        67.14   302.7
6.1000         -5909.31     -5976.38        67.08   302.4
6.1500         -5911.81     -5976.81        65.00   293.0
6.2000         -5912.51     -5980.34        67.83   305.8
6.2500         -5911.36     -5977.99        66.63   300.4
6.3000         -5912.95     -5979.15        66.20   298.5
6.3500         -5911.16     -5979.10        67.94   306.3
6.4000         -5913.20     -5979.31        66.11   298.1
6.4500         -5913.98     -5980.02        66.04   297.7
6.5000         -5908.75     -5978.45        69.70   314.2
6.5500         -5912.36     -5978.61        66.24   298.7
6.6000         -5913.96     -5977.86        63.91   288.1
6.6500         -5906.23     -5977.74        71.51   322.4
6.7000         -5912.17     -5977.92        65.75   296.4
6.7500         -5913.99     -5979.33        65.35   294.6
6.8000         -5908.07     -5975.38        67.31   303.5
6.8500         -5911.12     -5976.42        65.30   294.4
6.9000         -5913.18     -5978.10        64.92   292.7
6.9500         -5911.12     -5977.04        65.93   297.2
7.0000         -5909.65     -5978.95        69.30   312.4
7.0500         -5915.66     -5979.38        63.72   287.3
7.1000         -5908.47     -5976.29        67.81   305.7
7.1500         -5910.04     -5977.69        67.66   305.0
7.2000         -5916.31     -5980.61        64.30   289.9
7.2500         -5909.77     -5976.53        66.76   301.0
7.3000         -5908.35     -5976.24        67.89   306.1
7.3500         -5912.90     -5979.69        66.78   301.1
7.4000         -5911.21     -5978.12        66.91   301.6
7.4500         -5906.34     -5975.67        69.33   312.6
7.5000         -5914.02     -5979.03        65.01   293.1
7.5500         -5914.44     -5979.67        65.23   294.1
7.6000         -5908.66     -5977.13        68.47   308.7
7.6500         -5910.79     -5976.00        65.21   294.0
7.7000         -5911.79     -5976.92        65.13   293.6
7.7500         -5909.30     -5975.89        66.60   300.2
7.8000         -5907.77     -5975.72        67.95   306.3
7.8500         -5912.71     -5978.06        65.35   294.6
7.9000         -5911.00     -5976.40        65.40   294.9
7.9500         -5907.21     -5973.47        66.26   298.7
8.0000         -5907.90     -5976.47        68.57   309.1
8.0500         -5917.45     -5980.69        63.24   285.1
8.1000         -5912.44     -5979.26        66.82   301.2
8.1500         -5905.61     -5973.57        67.95   306.4
8.2000         -5910.78     -5977.13        66.35   299.1
8.2500         -5911.13     -5976.18        65.05   293.3
8.3000         -5906.29     -5973.10        66.81   301.2
8.3500         -5910.98     -5977.67        66.69   300.7
8.4000         -5913.86     -5979.01        65.16   293.7
8.4500         -5907.47     -5975.25        67.77   305.5
8.5000         -5907.72     -5973.72        66.00   297.6
8.5500         -5909.72     -5975.01        65.29   294.3
8.6000         -5908.70     -5974.86        66.16   298.3
8.6500         -5907.56     -5974.84        67.28   303.3
8.7000         -5908.64     -5975.66        67.01   302.1
8.7500         -5911.27     -5976.72        65.45   295.1
8.8000         -5908.12     -5975.08        66.96   301.9
8.8500         -5909.35     -5975.25        65.90   297.1
8.9000         -5910.59     -5975.66        65.07   293.3
8.9500         -5906.56     -5973.88        67.32   303.5
9.0000         -5910.42     -5976.28        65.87   297.0
9.0500         -5913.15     -5978.73        65.58   295.7
9.1000         -5904.73     -5971.47        66.74   300.9
9.1500         -5904.74     -5971.55        66.81   301.2
9.2000         -5910.73     -5976.88        66.15   298.2
9.2500         -5910.17     -5976.50        66.33   299.0
9.3000         -5907.99     -5975.20        67.21   303.0
9.3500         -5910.17     -5976.45        66.28   298.8
9.4000         -5909.50     -5976.51        67.01   302.1
9.4500         -5909.64     -5974.96        65.32   294.5
9.5000         -5907.89     -5975.57        67.68   305.1
9.5500         -5908.46     -5975.45        66.99   302.0
9.6000         -5909.35     -5974.78        65.43   295.0
9.6500         -5909.02     -5977.68        68.66   309.5
9.7000         -5910.00     -5976.74        66.74   300.9
9.7500         -5908.86     -5976.47        67.61   304.8
9.8000         -5911.09     -5977.69        66.61   300.3
9.8500         -5913.47     -5979.25        65.77   296.5
9.9000         -5907.05     -5974.44        67.39   303.8
9.9500         -5908.42     -5975.58        67.16   302.8
10.0000        -5912.99     -5978.43        65.44   295.0
10.0500        -5911.72     -5978.12        66.40   299.3
10.1000        -5909.70     -5977.34        67.65   305.0
10.1500        -5911.59     -5976.57        64.97   292.9
10.2000        -5906.51     -5974.62        68.11   307.1
10.2500        -5908.86     -5975.35        66.49   299.8
10.3000        -5912.38     -5977.50        65.12   293.6
10.3500        -5910.53     -5976.37        65.84   296.8
10.4000        -5911.84     -5978.43        66.59   300.2
10.4500        -5913.27     -5978.05        64.78   292.1
10.5000        -5908.34     -5975.82        67.48   304.2
10.5500        -5911.26     -5980.28        69.01   311.1
10.6000        -5913.81     -5982.24        68.43   308.5
10.6500        -5913.12     -5978.75        65.63   295.9
10.7000        -5907.81     -5975.15        67.35   303.6
10.7500        -5909.82     -5977.68        67.87   306.0
10.8000        -5911.58     -5976.40        64.81   292.2
10.8500        -5907.24     -5975.39        68.15   307.3
10.9000        -5913.49     -5979.00        65.50   295.3
10.9500        -5912.20     -5979.82        67.62   304.9
11.0000        -5910.33     -5978.23        67.91   306.1
11.0500        -5910.38     -5977.24        66.86   301.4
11.1000        -5911.17     -5979.09        67.93   306.2
11.1500        -5911.96     -5978.14        66.18   298.4
11.2000        -5908.31     -5975.31        67.00   302.1
11.2500        -5908.84     -5975.40        66.56   300.1
11.3000        -5912.20     -5979.94        67.75   305.4
11.3500        -5913.71     -5979.07        65.36   294.7
11.4000        -5908.07     -5976.14        68.07   306.9
11.4500        -5910.15     -5976.59        66.44   299.5
11.5000        -5912.59     -5977.60        65.02   293.1
11.5500        -5910.42     -5977.46        67.03   302.2
11.6000        -5912.03     -5977.78        65.75   296.4
11.6500        -5912.21     -5978.82        66.62   300.3
11.7000        -5910.27     -5977.41        67.13   302.7
11.7500        -5909.62     -5975.05        65.43   295.0
11.8000        -5909.49     -5975.03        65.54   295.5
11.8500        -5909.34     -5976.24        66.90   301.6
11.9000        -5912.10     -5979.14        67.04   302.2
11.9500        -5912.12     -5977.34        65.21   294.0
12.0000        -5907.76     -5975.48        67.72   305.3
12.0500        -5908.40     -5975.36        66.96   301.9
12.1000        -5912.19     -5976.82        64.63   291.4
12.1500        -5908.67     -5975.26        66.59   300.2
12.2000        -5906.52     -5974.88        68.35   308.2
12.2500        -5911.14     -5976.12        64.98   292.9
12.3000        -5908.42     -5976.51        68.09   307.0
12.3500        -5909.26     -5974.36        65.10   293.5
12.4000        -5908.14     -5975.48        67.34   303.6
12.4500        -5909.38     -5976.18        66.81   301.2
12.5000        -5909.95     -5976.72        66.77   301.0
12.5500        -5912.41     -5978.59        66.17   298.3
12.6000        -5907.84     -5975.94        68.09   307.0
12.6500        -5908.02     -5974.69        66.67   300.6
12.7000        -5909.54     -5977.00        67.46   304.2
12.7500        -5909.06     -5976.81        67.75   305.4
12.8000        -5909.57     -5976.46        66.89   301.6
12.8500        -5910.08     -5974.58        64.50   290.8
12.9000        -5909.96     -5977.36        67.41   303.9
12.9500        -5908.07     -5973.49        65.42   294.9
13.0000        -5906.08     -5973.75        67.67   305.1
13.0500        -5908.51     -5974.89        66.38   299.3
13.1000        -5909.12     -5974.61        65.49   295.3
13.1500        -5906.23     -5973.66        67.43   304.0
13.2000        -5910.31     -5974.04        63.72   287.3
13.2500        -5907.41     -5974.85        67.44   304.0
13.3000        -5905.60     -5973.85        68.25   307.7
13.3500        -5912.73     -5976.54        63.81   287.7
13.4000        -5912.04     -5977.99        65.95   297.3
13.4500        -5907.98     -5977.15        69.17   311.8
13.5000        -5909.75     -5972.37        62.62   282.3
