Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
5.8500      -1190581.54  -1190646.65        65.11   293.5
5.9000      -1190576.58  -1190643.88        67.31   303.4
5.9500      -1190576.85  -1190642.70        65.85   296.9
6.0000      -1190577.97  -1190644.75        66.78   301.1
6.0500      -1190578.07  -1190643.66        65.59   295.7
6.1000      -1190576.11  -1190644.02        67.91   306.1
6.1500      -1190578.12  -1190645.46        67.34   303.6
6.2000      -1190580.68  -1190645.35        64.67   291.5
6.2500      -1190573.83  -1190642.56        68.72   309.8
6.3000      -1190576.78  -1190641.50        64.72   291.8
6.3500      -1190576.24  -1190642.48        66.24   298.6
6.4000      -1190578.58  -1190642.60        64.02   288.6
6.4500      -1190576.76  -1190644.93        68.16   307.3
6.5000      -1190578.12  -1190643.91        65.78   296.6
6.5500      -1190577.44  -1190644.85        67.40   303.9
6.6000      -1190582.98  -1190647.41        64.43   290.5
6.6500      -1190579.04  -1190646.22        67.18   302.9
6.7000      -1190578.07  -1190644.78        66.71   300.7
6.7500      -1190577.33  -1190644.10        66.76   301.0
6.8000      -1190579.88  -1190646.86        66.98   302.0
6.8500      -1190582.51  -1190646.71        64.20   289.5
6.9000      -1190577.31  -1190645.95        68.64   309.5
6.9500      -1190579.68  -1190645.78        66.10   298.0
7.0000      -1190577.21  -1190645.30        68.08   306.9
7.0500      -1190576.18  -1190644.30        68.12   307.1
7.1000      -1190576.32  -1190642.88        66.56   300.1
7.1500      -1190575.01  -1190641.82        66.81   301.2
7.2000      -1190576.02  -1190643.73        67.71   305.3
7.2500      -1190577.75  -1190644.78        67.04   302.2
7.3000      -1190579.65  -1190644.53        64.88   292.5
7.3500      -1190577.98  -1190644.03        66.05   297.8
7.4000      -1190579.31  -1190646.02        66.71   300.8
7.4500      -1190579.43  -1190646.10        66.67   300.6
7.5000      -1190579.92  -1190646.37        66.45   299.6
7.5500      -1190578.49  -1190645.10        66.61   300.3
7.6000      -1190579.46  -1190646.05        66.59   300.2
7.6500      -1190579.35  -1190645.70        66.36   299.2
7.7000      -1190577.14  -1190642.79        65.65   296.0
7.7500      -1190578.28  -1190644.92        66.64   300.5
7.8000      -1190582.25  -1190646.37        64.12   289.1
7.8500      -1190579.75  -1190644.46        64.71   291.7
